16329	2679
16797	10294
13563	2759
14585	9889
15210	9428
15197	14264
10705	3182
9624	2730
5063	212
10850	10803
16090	212
15793	8489
16546	15787
10152	2759
83	12270
9699	681
16105	9636
95	98
16845	8489
3175	4695
482	212
5100	2679
16259	12559
7539	14943
16119	1588
7468	498
8119	12270
16719	7787
1998	1443
14350	16861
14585	14588
9415	353
13761	17261
7371	13176
15600	13459
14699	4409
183	15367
8886	7444
11904	10262
15707	1588
7944	16855
422	2679
16485	4277
1736	2759
17200	4277
14875	14879
14635	2758
15232	1588
6145	2679
10357	16796
336	10184
2250	2017
1354	353
14929	14959
13193	2759
11790	10294
1497	1163
13242	212
4390	486
114	13176
820	16011
7357	7353
608	353
11907	16557
5048	10266
15151	9985
14486	10803
8921	4244
14963	15038
5057	502
14929	15403
4415	3024
16141	10663
11667	7444
12878	7528
6321	14441
11696	1059
7644	9993
4110	396
10262	12359
16264	15996
4963	2679
10499	5463
1731	15732
15944	15986
986	3280
5270	3006
10658	15987
2591	2759
8806	1163
194	1163
4364	14713
13868	14451
7197	8266
14324	12393
1723	12639
4894	4025
11402	2710
10068	10670
17578	4137
7169	1731
10309	2282
15744	16239
11553	2679
11195	17327
5057	10670
16731	15870
12904	15729
5374	5402
8996	10803
16119	2679
1755	7787
12747	10670
16453	10262
16017	17261
5670	15919
15009	212
16137	2842
2386	2679
16895	9579
14979	1004
2231	2685
12566	2672
1804	1788
11374	7368
5401	220
13047	9907
6707	233
12133	12270
1792	1163
17461	7565
7488	353
1573	7326
8202	485
17067	7787
10509	17101
16841	4609
3063	16905
10000	17441
17572	11455
13374	2759
5082	3372
12907	17296
3919	8118
10078	10670
16259	13293
16912	2679
12375	7558
6534	9189
11426	12634
15306	13352
12967	11054
7811	194
12359	8440
17196	4817
10299	7787
998	2679
15901	485
6863	16090
13639	4277
9020	11127
3450	675
4788	17565
7268	16557
7175	7262
10803	88
12432	16662
5324	5360
827	675
518	3280
12967	7444
8901	3372
1868	2022
1126	11587
8984	8227
4244	16327
2025	2001
4446	10500
13210	9452
6922	7787
13993	9071
11064	11054
6814	220
9672	5960
8172	3893
8976	16784
4765	7933
245	4085
1917	7787
10849	2675
2313	2758
4021	8659
820	2679
3034	212
17461	7262
368	4409
6517	1004
5465	14563
8868	353
12397	10484
10699	11877
689	445
8507	5324
8733	11200
17622	5157
12979	4715
14186	479
5505	2679
14590	1058
17261	3120
5991	3353
12909	4519
17080	17101
9463	9458
13476	12732
4498	11641
11877	15378
3063	1588
11745	2675
14566	9452
10083	15738
12027	17091
15890	16096
7228	2481
14489	2758
1122	7444
3120	16796
6014	9276
14847	10294
5304	88
16888	16205
17235	224
5954	1006
11086	15798
12832	699
14153	699
9071	10484
2547	2759
