3206	3059
107	1479
1949	2301
1149	107
2089	5565
115	5165
1905	5485
5397	3180
80	2520
4018	2772
3141	2947
619	1457
5618	2425
62	5128
2424	2831
2160	3157
2013	2968
4634	3719
138	631
2850	1455
5277	1967
106	1859
854	5059
1285	2655
3196	3812
3392	4858
547	3082
1878	2185
1892	2806
1558	4200
138	1149
106	1125
2398	1877
4511	2089
4332	5403
5444	2674
3167	1967
138	1228
1955	1877
1096	1940
5409	5362
4634	456
2209	1924
1082	1739
854	1680
1827	2802
1086	51
69	5480
4703	326
65	2169
1544	279
1469	3030
1780	4605
4876	5535
138	1838
3040	1924
4634	234
65	4926
69	5258
3078	2077
5468	2088
5203	5304
2509	316
3318	5682
4634	908
138	5544
1023	1927
2812	2398
1766	3293
2860	2061
3192	4849
4417	4241
2849	1892
688	3094
2223	3083
2944	2128
276	2089
5537	2954
5461	4562
2332	57
106	446
1827	3180
2089	276
2846	3182
3746	5175
2881	5381
1590	1225
138	501
3109	2848
2610	4137
4634	721
2653	5604
2164	2775
2160	2314
138	3760
4074	1075
3917	5382
5538	2806
3470	410
1386	929
3196	5312
3939	3879
1843	5633
3132	2969
4474	2290
854	5155
2907	1199
4634	1378
2202	2245
3807	5368
1827	2245
3078	1993
138	4433
3157	1984
2132	2805
3710	3252
2159	2844
1780	2666
43	2649
3196	3737
1023	2847
1137	2117
287	3622
3196	4740
1335	1468
43	1526
668	2019
5026	1089
3290	837
2427	785
5596	1231
4485	5312
2250	2874
4082	4053
743	3357
4634	1830
3090	3156
2846	2278
393	4935
2278	2020
2306	2128
2382	2815
3100	5277
3737	3379
3038	1954
1725	1546
69	551
2045	3009
1477	1473
3196	4569
2957	2848
1983	2067
226	245
1780	4514
2071	2998
1099	5215
69	345
1086	3986
1800	3365
2947	2808
3344	5456
23	5221
619	2603
510	1972
3196	2851
406	211
119	1408
5189	2005
4047	306
4634	113
2311	3222
2404	2462
1927	3566
3332	2428
287	3581
2286	2974
5308	2525
138	3856
5553	4758
106	2391
2501	3553
2288	2062
106	3
1780	1553
2337	2132
3275	3270
3089	2802
5375	2148
3023	4277
4634	642
2968	2849
1055	798
